ts,flow_cfm,Q_Lps,co2_iaq_ppm,co2_fpb_ppm,co2_ppm,people_est,people_est_rounded,people_est_smooth_5min,people_est_smooth_5min_rounded
2026-03-31 23:22:26,2000.62158203125,944.1882540546143,514.0,495.0,514.0,16.205311611695837,16,15.154861015826187,15
2026-03-31 23:22:56,1811.06005859375,854.7251764501709,516.0,495.0,516.0,15.050871773389916,15,15.050871773389916,15
2026-03-31 23:23:56,1801.199951171875,850.0717238956909,519.0,493.0,519.0,15.537369382750095,16,15.537369382750095,16
2026-03-31 23:24:26,1779.9515380859375,840.043589523236,519.0,493.0,519.0,15.354077992641699,15,15.537369382750095,16
2026-03-31 23:24:56,2014.6414794921875,950.8049089105651,517.0,492.0,517.0,16.95467503466084,17,15.882991174993386,16
2026-03-31 23:25:26,2000.2899169921875,944.0317255851745,517.0,492.0,517.0,16.83389618596541,17,16.205311611695837,16
2026-03-31 23:26:26,2007.8427734375,947.5962769247558,518.0,493.0,518.0,17.108677209811557,17,16.423478449112746,16
2026-03-31 23:26:56,2000.9749755859373,944.3550372415954,517.0,491.0,517.0,16.839661452865236,17,16.519603898830624,17
2026-03-31 23:27:26,1993.2113037109373,940.6909920975523,516.0,491.0,516.0,16.564645444568356,17,16.699270815266885,17
2026-03-31 23:27:56,1831.2635498046875,864.2601626082702,516.0,492.0,516.0,15.218773524713802,15,16.699270815266885,17
2026-03-31 23:28:26,1813.1536865234373,855.7132588128355,518.0,491.0,518.0,15.449746147902227,15,16.564645444568356,17
2026-03-31 23:28:56,1821.9425048828125,859.8611192260558,520.0,490.0,520.0,15.907959329087163,16,16.564645444568356,17
2026-03-31 23:29:26,1791.413818359375,845.4531834694702,521.0,490.0,521.0,15.829854306418307,16,16.564645444568356,17
2026-03-31 23:29:56,1820.08984375,858.9867605287109,521.0,492.0,521.0,16.083250422585632,16,16.083250422585632,16
2026-03-31 23:30:56,1844.1180419921875,870.3268074172058,521.0,492.0,521.0,16.295575946438024,16,16.083250422585632,16
2026-03-31 23:33:56,1830.041748046875,863.6835363842652,525.0,491.0,525.0,16.94124726370677,17,16.189413184511828,16
2026-03-31 23:34:26,1839.5631103515625,868.1771190444886,525.0,492.0,525.0,17.02938938028045,17,16.618411605072396,17
2026-03-31 23:34:56,1833.4071044921875,865.2718077769714,524.0,492.0,524.0,16.779533183704935,17,16.860390223705853,17
2026-03-31 23:35:26,1844.4569091796875,870.4867349222351,522.0,492.0,522.0,16.492600950697557,16,16.779533183704935,17
2026-03-31 23:35:56,1803.243408203125,851.0361282307739,523.0,491.0,523.0,16.313776807746688,16,16.779533183704935,17
2026-03-31 23:36:56,1809.2803955078125,853.8852689949035,522.0,491.0,522.0,16.17806272541312,16,16.636067067201246,17
2026-03-31 23:37:26,1841.304931640625,868.9991671602172,520.0,491.0,520.0,16.077018833736858,16,16.492600950697557,16
2026-03-31 23:38:26,1833.898681640625,865.5038063586547,519.0,492.0,519.0,15.819432600278729,16,16.40318887922212,16
2026-03-31 23:39:26,1814.665283203125,856.4266530112427,520.0,493.0,520.0,15.844419592680023,16,16.17806272541312,16
2026-03-31 23:40:26,1845.2274169921875,870.8503741195495,522.0,493.0,522.0,16.499490609012536,16,16.12754077957499,16
2026-03-31 23:41:26,1834.13623046875,865.6159169223389,521.0,494.0,521.0,16.20737152347848,16,16.12754077957499,16
2026-03-31 23:41:56,1825.2862548828125,861.4391935119934,521.0,494.0,521.0,16.12916858527124,16,16.10309370950405,16
2026-03-31 23:42:56,1842.6964111328125,869.6558723582824,520.0,494.0,520.0,16.089168283628748,16,16.109168434449995,16
2026-03-31 23:43:26,1822.546142578125,860.1460044970825,520.0,491.0,520.0,15.913229881742256,16,16.109168434449995,16
2026-03-31 23:44:27,1804.4854736328125,851.6223178430481,519.0,495.0,519.0,15.565710698247965,16,16.109168434449995,16
2026-03-31 23:45:26,1790.75537109375,845.142430961499,521.0,495.0,521.0,15.824035927562186,16,16.001199082685503,16
2026-03-31 23:45:56,1801.8426513671875,850.3750446139832,520.0,495.0,520.0,15.732461116937083,16,15.913229881742256,16
2026-03-31 23:46:26,1795.6165771484375,847.4366647629333,521.0,494.0,521.0,15.866992045691081,16,15.866992045691081,16
2026-03-31 23:46:56,1814.3673095703125,856.2860251150696,522.0,494.0,522.0,16.223548441715717,16,15.866992045691081,16
2026-03-31 23:47:56,1800.8338623046875,849.8989491883484,523.0,495.0,523.0,16.29197786822676,16,15.866992045691081,16
2026-03-31 23:48:26,1807.9527587890625,853.2586942309631,524.0,493.0,524.0,16.546572355011417,17,15.866992045691081,16
2026-03-31 23:49:56,1802.923583984375,850.8851880062866,522.0,493.0,522.0,16.12122195279704,16,16.12122195279704,16
2026-03-31 23:51:27,1844.467041015625,870.4915166163696,525.0,492.0,525.0,17.0747865424122,17,16.29197786822676,16
2026-03-31 23:51:56,1867.1036376953125,881.1748006960266,525.0,492.0,525.0,17.284340330990343,17,16.546572355011417,17
2026-03-31 23:52:57,1799.714599609375,849.3707160134155,526.0,491.0,526.0,16.849823583307394,17,16.849823583307394,17
2026-03-31 23:53:56,1763.077392578125,832.079879579895,525.0,492.0,525.0,16.32133807034459,16,16.849823583307394,17
2026-03-31 23:54:27,1799.0526123046875,849.0582927930359,524.0,491.0,524.0,16.46511728542622,16,16.657470434366807,17
2026-03-31 23:54:57,1814.3785400390625,856.2913253061585,524.0,491.0,524.0,16.605381775707688,17,16.72760267950754,17
2026-03-31 23:55:27,1821.1705322265625,859.496788699469,523.0,490.0,523.0,16.4759618454364,16,16.605381775707688,17
2026-03-31 23:55:57,1809.630615234375,854.0505543017944,524.0,490.0,524.0,16.56192827232658,17,16.583655024017133,17
2026-03-31 23:56:27,1820.0084228515625,858.9483341433166,524.0,491.0,524.0,16.65690705083139,17,16.583655024017133,17
2026-03-31 23:56:57,1798.236328125,848.673049555957,523.0,492.0,523.0,16.268478216063805,16,16.518945058881492,17
2026-03-31 23:57:27,1816.4041748046875,857.2473184684264,524.0,492.0,524.0,16.623920596509997,17,16.56192827232658,17
2026-03-31 23:57:57,1786.62158203125,843.1914997546143,524.0,494.0,524.0,16.35134719886459,16,16.4759618454364,16
2026-03-31 23:58:27,1813.0130615234373,855.6468912026793,525.0,497.0,525.0,16.783607587301788,17,16.518945058881492,17
2026-03-31 23:59:57,1805.08544921875,851.9054747908935,528.0,495.0,528.0,17.279885861007987,17,16.592924434418286,17
2026-04-01 00:00:27,1810.1602783203125,854.3005274445618,530.0,493.0,530.0,17.709312066529872,18,16.64041382367069,17
2026-04-01 00:00:57,1783.4747314453125,841.7063516450501,531.0,493.0,531.0,17.635855264616236,18,16.72025731906659,17
2026-04-01 00:01:27,1826.1329345703125,861.8387818314758,531.0,494.0,531.0,18.057680078221207,18,17.031746724154885,17
2026-04-01 00:01:57,1810.74609375,854.5770015427735,535.0,493.0,535.0,18.66746494617008,19,17.45787056281211,17
2026-04-01 00:02:27,1793.919921875,846.6359326331054,536.0,490.0,536.0,18.682713727834525,19,17.672583665573054,18
2026-04-01 00:02:57,1838.344482421875,867.6019907005738,538.0,490.0,538.0,19.532146882389622,20,17.88349607237554,18
2026-04-01 00:03:27,1821.623046875,859.7103518338866,538.0,490.0,538.0,19.354484024144632,19,18.362572512195644,18
2026-04-01 00:04:57,1804.7923583984373,851.7671513256286,541.0,489.0,541.0,19.74523443953756,20,18.675089337002305,19
2026-04-01 00:05:27,1794.5098876953125,846.9143654975891,541.0,488.0,541.0,19.632739617789174,20,19.01859887598958,19
2026-04-01 00:05:57,1804.5377197265625,851.6469752537658,542.0,489.0,542.0,19.93227981507709,20,19.443315453267125,19
2026-04-01 00:06:27,1822.8109130859373,860.2709622630797,545.0,489.0,545.0,20.709379531823135,21,19.582443250089398,20
2026-04-01 00:07:27,1828.849609375,863.1209095780273,546.0,489.0,546.0,20.97037533200356,21,19.74523443953756,20
2026-04-01 00:08:27,1794.39990234375,846.8624581913818,546.0,490.0,546.0,20.57536019088993,21,20.25382000298351,20
2026-04-01 00:08:57,1801.09326171875,850.0213720803466,545.0,490.0,545.0,20.462640234030868,20,20.462640234030868,20
2026-04-01 00:09:57,1806.1611328125,852.4131409199707,546.0,491.0,546.0,20.71021951230793,21,20.57536019088993,21
2026-04-01 00:10:27,1813.375732421875,855.8180528083863,546.0,489.0,546.0,20.792945210967442,21,20.709379531823135,21
2026-04-01 00:10:57,1840.42578125,868.5842543751953,546.0,489.0,546.0,21.103112692080696,21,20.71021951230793,21
2026-04-01 00:11:27,1834.732666015625,865.8974031577759,549.0,486.0,549.0,21.616855913171158,22,20.792945210967442,21
2026-04-01 00:11:57,1878.5709228515625,886.5867566839416,549.0,487.0,549.0,22.13335910682988,22,20.8816602714855,21
2026-04-01 00:12:27,1837.41357421875,867.1626509479248,549.0,493.0,549.0,21.64844242570066,22,20.94802895152407,21
2026-04-01 00:12:57,1829.7337646484373,863.5381844047301,551.0,494.0,551.0,21.94292230944094,22,21.103112692080696,21
2026-04-01 00:13:57,1782.7259521484375,841.352967165277,552.0,489.0,552.0,21.566721937589197,22,21.59178892538018,22
2026-04-01 00:14:27,1812.3721923828125,855.3444346459778,553.0,488.0,553.0,22.116025963391305,22,21.616855913171158,22
2026-04-01 00:14:57,1801.4146728515625,850.1730612448791,554.0,489.0,554.0,22.171816182539207,22,21.64844242570066,22
